text,problem
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",jahat
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",tegas
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",tegas
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",jahat
"apakah allah sudah mengatur orang yang berdosa dan bebrbuat jahat sedimikian rupa..? berbicara mengenai itu, saya mempunyai hutang yang tak sanggup dan tidak bisa saya bayar karena memerlukan informasi kredit di azure pay as go. saya takut apabila di masa depan kelak nanti keturunan ku yang akan menjadi korban seperi layaknya di anime chainswa man? apa langkah tegas yang perlu saya ambil?",jahat
"saya pernah denger orang berkata, sebenernya islam bakal jauh sangat jauh lebih maju dari agama lain
gua gatau apakah ini diterapkan.. apakah itu betul? apa langkah yang perlu saya ambil?",N/A
"saya pernah denger orang berkata, sebenernya islam bakal jauh sangat jauh lebih maju dari agama lain
gua gatau apakah ini diterapkan.. apakah itu betul? apa langkah yang perlu saya ambil?",N/A
"Halo, nama saya Andi. Saya ingin berbagi tentang beberapa masalah yang sedang saya hadapi. Akhir-akhir ini, saya merasa sangat tertekan dan cemas. Saya merasa terjebak dalam rutinitas pekerjaan yang monoton dan tidak menemukan kepuasan di dalamnya.

Pekerjaan saya sebagai desainer grafis memang menyenangkan pada awalnya, tetapi belakangan ini saya merasa tidak ada perkembangan dan tidak ada tantangan baru. Saya merasa stagnan dan kehilangan motivasi. Saya juga merasa tertekan untuk terus memenuhi ekspektasi klien dan atasan, tetapi saya merasa tidak pernah cukup baik.

Selain itu, saya sering merasa cemas tentang masa depan saya. Saya tidak yakin apakah saya sudah memilih jalur karir yang tepat atau jika saya seharusnya mengejar bidang lain yang lebih sesuai dengan minat saya. Ketidakpastian ini membuat saya sulit untuk fokus dan merasa tidak puas dengan pencapaian saya.

Di luar pekerjaan, saya juga merasa kesulitan untuk menjaga keseimbangan antara pekerjaan dan kehidupan pribadi. Saya sering membawa pekerjaan pulang dan sulit untuk benar-benar bersantai atau menikmati waktu bersama keluarga dan teman-teman.

Saya juga sering merasa tidak nyaman dalam hubungan sosial saya. Saya merasa sulit untuk terbuka dan berbicara tentang perasaan saya kepada orang lain. Hal ini membuat saya merasa terisolasi dan tidak memiliki dukungan emosional yang cukup.

Saya ingin mencari cara untuk mengatasi perasaan tertekan ini dan menemukan cara untuk merasa lebih puas dengan kehidupan saya. Saya berharap dengan bantuan konseling, saya bisa menemukan jalan keluar dari situasi ini dan mendapatkan klarifikasi tentang apa yang benar-benar saya inginkan dalam hidup saya.

Terima kasih telah mendengarkan.",stagnan
"Halo, nama saya Andi. Saya ingin berbagi tentang beberapa masalah yang sedang saya hadapi. Akhir-akhir ini, saya merasa sangat tertekan dan cemas. Saya merasa terjebak dalam rutinitas pekerjaan yang monoton dan tidak menemukan kepuasan di dalamnya.

Pekerjaan saya sebagai desainer grafis memang menyenangkan pada awalnya, tetapi belakangan ini saya merasa tidak ada perkembangan dan tidak ada tantangan baru. Saya merasa stagnan dan kehilangan motivasi. Saya juga merasa tertekan untuk terus memenuhi ekspektasi klien dan atasan, tetapi saya merasa tidak pernah cukup baik.

Selain itu, saya sering merasa cemas tentang masa depan saya. Saya tidak yakin apakah saya sudah memilih jalur karir yang tepat atau jika saya seharusnya mengejar bidang lain yang lebih sesuai dengan minat saya. Ketidakpastian ini membuat saya sulit untuk fokus dan merasa tidak puas dengan pencapaian saya.

Di luar pekerjaan, saya juga merasa kesulitan untuk menjaga keseimbangan antara pekerjaan dan kehidupan pribadi. Saya sering membawa pekerjaan pulang dan sulit untuk benar-benar bersantai atau menikmati waktu bersama keluarga dan teman-teman.

Saya juga sering merasa tidak nyaman dalam hubungan sosial saya. Saya merasa sulit untuk terbuka dan berbicara tentang perasaan saya kepada orang lain. Hal ini membuat saya merasa terisolasi dan tidak memiliki dukungan emosional yang cukup.

Saya ingin mencari cara untuk mengatasi perasaan tertekan ini dan menemukan cara untuk merasa lebih puas dengan kehidupan saya. Saya berharap dengan bantuan konseling, saya bisa menemukan jalan keluar dari situasi ini dan mendapatkan klarifikasi tentang apa yang benar-benar saya inginkan dalam hidup saya.

Terima kasih telah mendengarkan.",terbuka
"saya sulit berbuat apa yang ku inginkan , tapi aku cukup bingung apakah hal lain yang betul -betul ku inginkan adalah hal yang tidak pantas atau maksiat? menurutmu aku harus bagaimana? apa langkah yang harus saya ambil? sedangkan aku tidak bis abertahan dari godaan tersebut",bingung
"kurasa sudah terjawab, kebaikan di buat untuk membuat diri kita terjaga dri bahaya dan dosa dan mmebuat diri kita menjadi lebih baik. Namun apakah hal tersebut betul - betul akan bertahan? bagaimana jika saya salah? aku cukup tidak berani meninggalkan hal tersebut",berani
"kurasa sudah terjawab, kebaikan di buat untuk membuat diri kita terjaga dari bahaya dan dosa dan mmebuat diri kita menjadi lebih baik. Namun apakah hal tersebut betul - betul akan bertahan? bagaimana jika saya salah? aku cukup tidak berani meninggalkan hal tersebut",baik
"saya mungkin terlalu overthinking, atas perbuatan dosa yang sulit di lawan. Nmaun tahukah anda lawanku bukan lah hal yang biasa. Bahkan Allah s.w.t pun di lawannya. Lantas aku harus bagaimana? apakah saya mampu untuk tidak menjadi pengikutnya? apa langkah tegas yang harus saya ambil?",tegas
"saya mungkin terlalu overthinking, atas perbuatan dosa yang sulit di lawan. Nmaun tahukah anda lawanku bukan lah hal yang biasa. Bahkan Allah s.w.t pun di lawannya. Lantas aku harus bagaimana? apakah saya mampu untuk tidak menjadi pengikutnya? apa langkah awal yang harus saya ambil?",N/A
saya merasa bersalah atas tindakan ku sendiri. Saya tidak begitu tau atas apa yang seharusnya mengenai siapa yang harusnya ku beri,N/A
apakah semua manusia sama? Apa yang harus ku lakukan terhadap diriku sendiri,N/A
saya selalu berusaha untuk menjadi lebih kuat dan bernilai. Di karenakan saya merindukan dan ingin menjadi sosok yang berarti bagi masyarakat dan negara'. Namun semua hal itu aku lakukan dengan melupakan nilai nilai yang tertanam dalam diriku. Apakah langkah itu sudah benar?,N/A
aku terlalu akrab pada orang di dunia Maya. Sehingga tidak begitu sadar akan teman dunia nyata? Aku harus bagaimana?,N/A
aku terlalu akrab pada orang di dunia Maya. Sehingga saya lupa akan teman dunia nyata? Aku harus bagaimana?,N/A
aku terlalu akrab pada orang di dunia Maya. Sehingga saya lupa akan teman dunia nyata? Aku harus bagaimana? Apa yang harus saya lakukan atas hubungan yang semakin renggang dan juga atas perilaku menutup diri yang saya lakukan? Apakah saya sudah melakukan hal yang benar? Soalnya saya juga kadang mudah di manfaatin orang lain,N/A
"aku doyan nonton jorok, dan tak bisa berhenti karena kegilaan",N/A
"aku doyan nonton jorok, dan tak bisa berhenti karena kegilaan... Bagaimana caraku mengatasi perasaanku dan kelainan ku itu",N/A
"saya tampaknya telah membuat masalah di sekitar tempat saya berada yang seharusnya tidak ada. Awalnya, aku beranggapan ada masalah yang perlu ku hadapin ternyata masalah tersebutlah yang ku buat",N/A
aku sering berbuat baik kepada seseorang namun aku tidak begitu melihat kebaikan ku itu akan membuat mereka menjadi lebih baik namun hal yang paling penting adalah sering terbesit dalam pemikiran ku balas pemberian dari dia nya dan balas kasih bukan balas dendam. Apa yang harus ku lakukan terhadap diriku ini?,baik
aku sering berbuat baik kepada seseorang namun aku tidak begitu melihat kebaikan ku itu akan membuat mereka menjadi lebih baik namun hal yang paling penting adalah sering terbesit dalam pemikiran ku balas pemberian dari dia nya dan balas kasih bukan balas dendam. Apa yang harus ku lakukan terhadap diriku ini?,baik
aku sering berbuat baik kepada seseorang namun aku tidak begitu melihat kebaikan ku itu akan membuat mereka menjadi lebih baik namun hal yang paling penting adalah sering terbesit dalam pemikiran ku balas pemberian dari dia nya dan balas kasih bukan balas dendam. Apa yang harus ku lakukan terhadap diriku ini?,baik
aku suka boros dalam pemberian harta . Dan juga tidak mikir akan kebutuhan diriku sendiri karena kebodohan. Apakah aku harus berhenti memberikan sedekah kepada sesama? Apa yang harus aku lakukan terhadap nya?,N/A
saya tidak lebih dan tidak kurang berada di era yang dimana saya melakukan hal yang parah berupa kejahatan yang menyakiti orang terdekat. Di satu sisi aku tidak bisa menjadi lebih baik di karenakan doa doa ku yang kunjung tidak terkabul. Bagaimana saya harus menyikapi nya?,baik
saya tidak lebih dan tidak kurang berada di era yang dimana saya melakukan hal yang parah berupa kejahatan yang menyakiti orang terdekat. Di satu sisi aku tidak bisa menjadi lebih baik di karenakan doa doa ku yang kunjung tidak terkabul. Bagaimana saya harus menyikapi nya?,baik
saya tidak lebih dan tidak kurang berada di era yang dimana saya melakukan hal yang parah berupa kejahatan yang menyakiti orang terdekat. Di satu sisi aku tidak bisa menjadi lebih baik di karenakan doa doa ku yang kunjung tidak terkabul. Bagaimana saya harus menyikapi nya?,baik
saya tidak lebih dan tidak kurang berada di era yang dimana saya melakukan hal yang parah berupa kejahatan yang menyakiti orang terdekat. Di satu sisi aku tidak bisa menjadi lebih baik di karenakan doa doa ku yang kunjung tidak terkabul. Bagaimana saya harus menyikapi nya?,baik
saya tidak lebih dan tidak kurang berada di era yang dimana saya melakukan hal yang parah berupa kejahatan yang menyakiti orang terdekat. Di satu sisi aku tidak bisa menjadi lebih baik di karenakan doa doa ku yang kunjung tidak terkabul. Bagaimana saya harus menyikapi nya?,baik
apakah Allah SWT ogah mengabulkan doa seorang hamba yang berniat baik? Apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? Bisakah anda jelaskan. Mengapa Allah SWT tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,baik
apakah Allah SWT ogah mengabulkan doa seorang hamba yang berniat baik? Apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? Bisakah anda jelaskan. Mengapa Allah SWT tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,baik
apakah Allah SWT ogah mengabulkan doa seorang hamba yang berniat baik? Apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? Bisakah anda jelaskan. Mengapa Allah SWT tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,baik
apakah Allah SWT ogah mengabulkan doa seorang hamba yang berniat baik? Apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? Bisakah anda jelaskan. Mengapa Allah SWT tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,baik
apakah Allah SWT ogah mengabulkan doa seorang hamba yang berniat baik? Apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? Bisakah anda jelaskan. Mengapa Allah SWT tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,baik
apakah Allah SWT ogah mengabulkan doa seorang hamba yang berniat baik? Apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? Bisakah anda jelaskan. Mengapa Allah SWT tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,baik
aku sering berbuat baik kepada seseorang namun aku tidak begitu melihat kebaikan ku itu akan membuat mereka menjadi lebih baik namun hal yang paling penting adalah sering terbesit dalam pemikiran ku balas pemberian dari dia nya dan balas kasih bukan balas dendam. apa yang harus ku lakukan terhadap diriku ini?,baik
aku sering berbuat baik kepada seseorang namun aku tidak begitu melihat kebaikan ku itu akan membuat mereka menjadi lebih baik namun hal yang paling penting adalah sering terbesit dalam pemikiran ku balas pemberian dari dia nya dan balas kasih bukan balas dendam. apa yang harus ku lakukan terhadap diriku ini?,baik
"""saya merasa terbebani dengan pekerjaan dan kehidupan pribadi saya. saya butuh beberapa panduan tentang cara mengatasi hal yang baik.""",baik
"""saya merasa terbebani dengan pekerjaan dan kehidupan pribadi saya. saya butuh beberapa panduan tentang cara mengatasi hal yang baik.""",baik
"""i feel overwhelmed with my work and personal life. i need some guidance on how to cope well.""",tidak ada informasi cukup untuk analisis.
"""saya merasa terbebani dengan pekerjaan dan kehidupan pribadi saya. saya butuh beberapa panduan tentang cara mengatasi hal yang baik.""",tidak ada informasi cukup untuk analisis.
apakah allah swt ogah mengabulkan doa seorang hamba yang berniat baik? apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? bisakah anda jelaskan. mengapa allah swt tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,tidak ada informasi cukup untuk analisis.
apakah Allah SWT ogah mengabulkan doa seorang hamba yang berniat baik? Apakah kejahatan akan lebih di sukainya di banding hal hal positif yang kami dapat kerjakan? Bisakah anda jelaskan. Mengapa Allah SWT tidak kunjung menjadikan ku konten kreator yang dapat berdakwah dengan baik dan benar?,baik
"""i feel overwhelmed with my work and personal life. i need some guidance on how to cope well.""",tidak ada informasi cukup untuk analisis.
"""saya merasa terbebani dengan pekerjaan dan kehidupan pribadi saya. saya butuh beberapa panduan tentang cara mengatasi hal yang baik.""",baik
"""i feel overwhelmed with my work and personal life. i need some guidance on how to cope well.""",tidak ada informasi cukup untuk analisis.
"""i feel overwhelmed with my work and personal life. i need some guidance on how to cope well.""","Positive Traits:
1. Seeking guidance: The individual recognizes the need for help and is willing to reach out for support.
2. Self-awareness: They acknowledge feeling overwhelmed and are aware of the impact it is having on their work and personal life.
3. Proactive approach: By reaching out for guidance, they display a proactive attitude towards finding solutions.

Negative Traits:
1. Overwhelm: Feeling overwhelmed can lead to stress and potential burnout if not addressed.
2. Imbalance: The combination of work and personal life might be unbalanced, contributing to the overwhelming feeling.

Guidance on how to cope well:
1. Prioritize and organize: Break down tasks and responsibilities into manageable chunks. Prioritize tasks based on urgency and importance to regain a sense of control over your work and personal life.
2. Set boundaries: Establish clear boundaries between work and personal life. Allocate specific time for personal activities, relaxation, and self-care, without letting work interfere.
3. Seek support: Reach out to trusted friends, family, or colleagues for support and assistance when needed. Having someone to talk to can help alleviate stress and provide guidance.
4. Time management: Practice effective time management techniques such as creating schedules, setting deadlines, and avoiding procrastination. This can help reduce overwhelm by better utilizing available time.
5. Self-care: Prioritize self-care activities regularly. Engage in activities that help you recharge and relax, such as exercise, hobbies, meditation, or spending time with loved ones.
6. Seek professional help if needed: If feelings of overwhelm persist or escalate, consider seeking support from a professional therapist or counselor who can help develop effective coping strategies tailored to your specific situation.

Remember, coping well is a continuous process, so be patient with yourself and acknowledge the progress you make along the way."
"apakah menikah memberikan rejeki yang tak terduga bagi seorang insan? dan bagaimana fleksibe;itas konsep rejeki, anak dan dasar dasar menikah bagi seorang pia yang belum siap secara finansial? dan mengapa sangat sulit rasanya untuk menjadi kaya di usia muda jika ada cara dan amalan tertentu apakah saja itu?",N/A
apakah berbuat baik akan membuah kan hasil yang baik. Meskipun terkadang terlihat merugikan diri kita sendiri? Dan apakah hal tersebut berefek domino bagi kesuksesan kita kelak? Lalu kenapa ada perih kata yang mengatakan orang jahat adalah orang baik yang tersakiti?,baik
apakah berbuat baik akan membuah kan hasil yang baik. Meskipun terkadang terlihat merugikan diri kita sendiri? Dan apakah hal tersebut berefek domino bagi kesuksesan kita kelak? Lalu kenapa ada perih kata yang mengatakan orang jahat adalah orang baik yang tersakiti?,baik
apakah termasuk bersikap adil ketika memaksakan kehendak atas definisi kebaikan atau memaksakan kebaikan pada orang lain itu sendiri?,adil
apakah termasuk bersikap adil ketika memaksakan kehendak atas definisi kebaikan atau memaksakan kebaikan pada orang lain itu sendiri?,adil
apakah termasuk bersikap adil ketika memaksakan kehendak atas definisi kebaikan atau memaksakan kebaikan pada orang lain itu sendiri?,adil
kenapa rata² orang yang ingin berbuat baik di sakiti dan di manfaatkan sedangkan orang yang berbuat kriminal dan jahat di beri support dan kerjasama,baik
kenapa rata² orang yang ingin berbuat baik di sakiti dan di manfaatkan sedangkan orang yang berbuat kriminal dan jahat di beri support dan kerjasama,baik
kenapa rata² orang yang ingin berbuat baik di sakiti dan di manfaatkan sedangkan orang yang berbuat kriminal dan jahat di beri support dan kerjasama,baik
kenapa rata² orang yang ingin berbuat baik di sakiti dan di manfaatkan sedangkan orang yang berbuat kriminal dan jahat di beri support dan kerjasama,jahat
kenapa rata² orang yang ingin berbuat baik di sakiti dan di manfaatkan sedangkan orang yang berbuat kriminal dan jahat di beri support dan kerjasama,baik
saya ingin membuat sebuah prospek kerja namun saya cukup bingung pada bagian masalah kandidat dan posisinya apa yang harus saya lakukan?,bingung
